name,category,cropType,seedType,description,unit,price,stock
KEDARNATH,Bajra,Pearl Millet (Bajra),Hybrid,High-yielding hybrid bajra (pearl millet) seed bred for vigour and dependable yields.,packet,,
GURUDEV,Bajra,Pearl Millet (Bajra),Hybrid,Hybrid bajra seed offering strong tillering and consistent grain quality.,packet,,
ACS-1690,Bajra,Pearl Millet (Bajra),Hybrid,Hybrid bajra seed selected for high productivity and adaptability.,packet,,
MISHRI,Bajra,Pearl Millet (Bajra),Research,Rajka bajri variety suited to fodder and grain use.,packet,,
PUSHTI,Fodder,Fodder Bajra,Hybrid,Hybrid multicut fodder bajra for abundant green fodder across cuttings.,packet,,
ACS-2085,Maize,Maize,Hybrid,Hybrid maize seed bred for high grain yield and uniform cobs.,packet,,
ACS-1203,Maize,Maize,Hybrid,Hybrid maize seed with strong standability and yield potential.,packet,,
AJANTA,Urid,Urid (Black Gram),Research,Research urid (black gram) seed for healthy pods and good yields.,packet,,
BADSHAH,Moong,Moong (Green Gram),Research,Research moong (green gram) seed with synchronous maturity.,packet,,
SWETA,Sesame,Sesame (Til),Research,Research sesame (til) seed selected for bold, bright grain.,packet,,
MAHARANI,Guar,Gum Guar (Cluster Bean),Research,Research gum guar seed bred for high gum content and yield.,packet,,
ACS-1991,Castor,Castor,Hybrid,Hybrid castor seed offering high oil content and yield.,packet,,
NAKSHATRA,Castor,Castor,Hybrid,Hybrid castor seed with strong disease tolerance and productivity.,packet,,
SITARA,Fenugreek,Fenugreek (Methi),Research,Research fenugreek (methi) seed for aromatic, high-quality produce.,packet,,
ACS-1285,Mustard,Mustard,Hybrid,Hybrid mustard seed bred for high oil yield and uniform maturity.,packet,,
A-STAR,Mustard,Mustard,Research,Research mustard seed selected for bold grain and good oil content.,packet,,
YELLOW STAR,Rapeseed,Rapeseed,Research,Research rapeseed (yellow sarson) selected for quality and yield.,packet,,
RAJA-5,Cumin,Cumin (Jeera),Hybrid,Hybrid cumin (jeera) seed for aromatic, premium-grade spice.,packet,,
TEJAS,Isabgol,Isabgol (Psyllium),Research,Research isabgol (psyllium) seed bred for high husk yield.,packet,,
ANNADATA,Wheat,Wheat,Research,Research wheat seed selected for high yield and grain quality.,packet,,
SWADIST,Fodder,Sorghum Sudan Grass,Hybrid,Hybrid sorghum-sudan grass for fast-growing, nutritious green fodder.,packet,,
MEGA SWADIST,Fodder,Sweet Sorghum,Hybrid,Hybrid sweet sorghum for high-biomass, palatable fodder.,packet,,
